_latitude,_longitude,_quarter_begin,_quarter_begin_date,labeler_code,location,location_address,location_city,location_state,location_zip,medicaid_amount_reimbursed,ndc,non_medicaid_amount_reimbursed,number_of_prescriptions,package_size,period_covered,product_code,product_fda_list_name,quarter,state_code,suppression_used,total_amount_reimbursed,units_reimbursed,utilization_type
38.5111,-96.8005,7/1,2016-07-01T00:00:00.000,00406,POINT (-96.8005 38.5111),,,,,,00406577101,,,01,2016,5771,METHADONE,3,KS,true,,,FFSU
40.3363,-89.0022,1/1,2016-01-01T00:00:00.000,00054,POINT (-89.0022 40.3363),,,,,,00054355344,,,44,2016,3553,METHADONE,1,IL,true,,,MCOU
38.4623,-92.302,1/1,2016-01-01T00:00:00.000,00054,POINT (-92.302 38.4623),,,,,2155.53,00054457025,0,84,25,2016,4570,METHADONE,1,MO,false,2155.53,6021,FFSU
38.4623,-92.302,4/1,2016-04-01T00:00:00.000,66689,POINT (-92.302 38.4623),,,,,,66689069479,,,79,2016,0694,METHADONE,2,MO,true,,,FFSU
34.9513,-92.3809,7/1,2016-07-01T00:00:00.000,12496,POINT (-92.3809 34.9513),,,,,,12496120203,,,03,2016,1202,SUBOXONE,3,AR,true,,,FFSU
45.7326,-93.9196,4/1,2016-04-01T00:00:00.000,59011,POINT (-93.9196 45.7326),,,,,38427.02,59011075204,72,65,04,2016,0752,BUTRANS,2,MN,false,38499.02,256,MCOU
44.2853,-99.4632,4/1,2016-04-01T00:00:00.000,00054,POINT (-99.4632 44.2853),,,,,,00054355663,,,63,2016,3556,METHADONE,2,SD,true,,,FFSU
36.17,-119.7462,1/1,2016-01-01T00:00:00.000,00054,POINT (-119.7462 36.17),,,,,738.73,00054355563,0,67,63,2016,3555,METHADONE,1,CA,false,738.73,9642,FFSU
42.0046,-93.214,4/1,2016-04-01T00:00:00.000,00054,POINT (-93.214 42.0046),,,,,1357.58,00054457025,0,101,25,2016,4570,METHADONE,2,IA,false,1357.58,7929,MCOU
,,4/1,2016-04-01T00:00:00.000,66689,,,,,,227.35,66689069479,7.65,12,79,2016,0694,METHADONE,2,XX,false,235,3076,MCOU
39.0724,-76.7902,4/1,2016-04-01T00:00:00.000,00406,POINT (-76.7902 39.0724),,,,,,00406575501,,,01,2016,5755,METHADONE,2,MD,true,,,FFSU
38.4623,-92.302,1/1,2016-01-01T00:00:00.000,59011,POINT (-92.302 38.4623),,,,,90809.5,59011075804,392.77,185,04,2016,0758,BUTRANS,1,MO,false,91202.27,740,FFSU
40.1135,-111.8535,7/1,2016-07-01T00:00:00.000,66689,POINT (-111.8535 40.1135),,,,,,66689069430,,,30,2016,0694,Methadone,3,UT,true,,,MCOU
47.3917,-121.5708,1/1,2016-01-01T00:00:00.000,67457,POINT (-121.5708 47.3917),,,,,,67457021720,,,20,2016,0217,Methadone,1,WA,true,,,MCOU
27.8333,-81.717,7/1,2016-07-01T00:00:00.000,59011,POINT (-81.717 27.8333),,,,,89396.51,59011075804,0,188,04,2016,0758,BUTRANS,3,FL,false,89396.51,752,MCOU
36.17,-119.7462,7/1,2016-07-01T00:00:00.000,00406,POINT (-119.7462 36.17),,,,,,00406577123,,,23,2016,5771,METHADONE,3,CA,true,,,MCOU
34.8375,-106.2371,7/1,2016-07-01T00:00:00.000,00054,POINT (-106.2371 34.8375),,,,,,00054355663,,,63,2016,3556,METHADONE,3,NM,true,,,MCOU
43.3504,-84.5603,1/1,2016-01-01T00:00:00.000,66689,POINT (-84.5603 43.3504),,,,,,66689069430,,,30,2016,0694,METHADONE,1,MI,true,,,MCOU
36.17,-119.7462,4/1,2016-04-01T00:00:00.000,66689,POINT (-119.7462 36.17),,,,,,66689071216,,,16,2016,0712,METHADONE,2,CA,true,,,FFSU
39.0724,-76.7902,4/1,2016-04-01T00:00:00.000,00406,POINT (-76.7902 39.0724),,,,,24396.03,00406577101,899.19,1624,01,2016,5771,METHADONE,2,MD,false,25295.22,165166,MCOU
39.8647,-86.2604,1/1,2016-01-01T00:00:00.000,00406,POINT (-86.2604 39.8647),,,,,,00406575562,,,62,2016,5755,METHADONE,1,IN,true,,,FFSU
44.2563,-89.6385,7/1,2016-07-01T00:00:00.000,66689,POINT (-89.6385 44.2563),,,,,,66689071216,,,16,2016,0712,Methadone,3,WI,true,,,FFSU
37.669,-84.6514,4/1,2016-04-01T00:00:00.000,00406,POINT (-84.6514 37.669),,,,,656.26,00406577162,0,27,62,2016,5771,METHADONE,2,KY,false,656.26,2330,MCOU
34.8375,-106.2371,1/1,2016-01-01T00:00:00.000,67877,POINT (-106.2371 34.8375),,,,,,67877011601,,,01,2016,0116,METHADONE,1,NM,true,,,FFSU
