_latitude,_location,_location_address,_location_city,_location_state,_location_zip,_longitude,_quarter_begin,_quarter_begin_date,labeler_code,medicaid_amount_reimbursed,ndc,non_medicaid_amount_reimbursed,number_of_prescriptions,package_size,period_covered,product_code,product_fda_list_name,quarter,record_id,state_code,suppression_used,total_amount_reimbursed,units_reimbursed
40.3363,POINT (-89.0022 40.3363),,,,,-89.0022,10/1,2015-10-01T00:00:00.000,66689,,66689071116,,,16,2015,0711,Methadone,4,MCOU,IL,true,,
38.4623,POINT (-92.302 38.4623),,,,,-92.302,10/1,2015-10-01T00:00:00.000,59011,33942.78,59011075004,0,124,04,2015,0750,BUTRANS,4,FFSU,MO,false,33942.78,596
27.8333,POINT (-81.717 27.8333),,,,,-81.717,1/1,2015-01-01T00:00:00.000,00406,207.58,00406575501,2.84,23,01,2015,5755,METHADONE,1,FFSU,FL,false,210.42,1563
44.2394,POINT (-114.5103 44.2394),,,,,-114.5103,10/1,2015-10-01T00:00:00.000,12496,3500.51,12496120403,0,15,03,2015,1204,SUBOXONE,4,FFSU,ID,false,3500.51,483
43.4108,POINT (-71.5653 43.4108),,,,,-71.5653,1/1,2015-01-01T00:00:00.000,00054,,00054457025,,,25,2015,4570,METHADONE,1,FFSU,NH,true,,
43.4108,POINT (-71.5653 43.4108),,,,,-71.5653,4/1,2015-04-01T00:00:00.000,00054,,00054855424,,,24,2015,8554,METHADONE,2,FFSU,NH,true,,
,,,,,,,1/1,2015-01-01T00:00:00.000,00054,8969.93,00054355344,22.32,105,44,2015,3553,METHADONE,1,FFSU,XX,false,8992.25,12981
39.0724,POINT (-76.7902 39.0724),,,,,-76.7902,1/1,2015-01-01T00:00:00.000,00054,,00054355344,,,44,2015,3553,METHADONE,1,MCOU,MD,true,,
43.3504,POINT (-84.5603 43.3504),,,,,-84.5603,7/1,2015-07-01T00:00:00.000,59011,15742.07,59011075004,0,82,04,2015,0750,BUTRANS,3,MCOU,MI,false,15742.07,328
42.1497,POINT (-74.9384 42.1497),,,,,-74.9384,10/1,2015-10-01T00:00:00.000,00406,9649.42,00406577101,147.25,215,01,2015,5771,METHADONE,4,FFSU,NY,false,9796.67,35878
40.3363,POINT (-89.0022 40.3363),,,,,-89.0022,4/1,2015-04-01T00:00:00.000,00406,373.12,00406575501,0,49,01,2015,5755,METHADONE,2,MCOU,IL,false,373.12,3805
27.8333,POINT (-81.717 27.8333),,,,,-81.717,1/1,2015-01-01T00:00:00.000,12496,8729.89,12496120403,40.89,43,03,2015,1204,SUBOXONE,1,MCOU,FL,false,8770.78,1215
38.4199,POINT (-117.1219 38.4199),,,,,-117.1219,4/1,2015-04-01T00:00:00.000,00054,198.26,00054355663,0,21,63,2015,3556,METHADONE,2,MCOU,NV,false,198.26,395.75
37.669,POINT (-84.6514 37.669),,,,,-84.6514,7/1,2015-07-01T00:00:00.000,12496,79442.44,12496120801,0,213,01,2015,1208,SUBOXONE,3,MCOU,KY,false,79442.44,10787
44.2394,POINT (-114.5103 44.2394),,,,,-114.5103,7/1,2015-07-01T00:00:00.000,12496,3801.06,12496120203,0,34,03,2015,1202,SUBOXONE,3,FFSU,ID,false,3801.06,870
33.7712,POINT (-111.3877 33.7712),,,,,-111.3877,7/1,2015-07-01T00:00:00.000,12496,,12496121203,,,03,2015,1212,SUBOXONE,3,MCOU,AZ,true,,
43.4108,POINT (-71.5653 43.4108),,,,,-71.5653,1/1,2015-01-01T00:00:00.000,12496,64612.2,12496120803,0,457,03,2015,1208,SUBOXONE,1,FFSU,NH,false,64612.2,9104
42.0046,POINT (-93.214 42.0046),,,,,-93.214,4/1,2015-04-01T00:00:00.000,67877,5428.71,67877011601,0,189,01,2015,0116,Methadone,2,FFSU,IA,false,5428.71,26466
33.8191,POINT (-80.9066 33.8191),,,,,-80.9066,1/1,2015-01-01T00:00:00.000,12496,5991.16,12496120203,0,43,03,2015,1202,SUBOXONE,1,MCOU,SC,false,5991.16,1534
43.3504,POINT (-84.5603 43.3504),,,,,-84.5603,4/1,2015-04-01T00:00:00.000,00054,3895.49,00054457125,460.29,161,25,2015,4571,METHADONE,2,FFSU,MI,false,4355.78,19010
27.8333,POINT (-81.717 27.8333),,,,,-81.717,10/1,2015-10-01T00:00:00.000,67877,46044.66,67877011601,5.44,3048,01,2015,0116,METHADONE,4,MCOU,FL,false,46050.1,345384
35.6411,POINT (-79.8431 35.6411),,,,,-79.8431,10/1,2015-10-01T00:00:00.000,59011,82599.99,59011075104,1037.55,263,04,2015,0751,BUTRANS,4,FFSU,NC,false,83637.54,1073
,,,,,,,10/1,2015-10-01T00:00:00.000,68084,,68084073811,,,11,2015,0738,METHADONE,4,FFSU,XX,true,,
34.9513,POINT (-92.3809 34.9513),,,,,-92.3809,1/1,2015-01-01T00:00:00.000,00406,13134.49,00406577101,0,341,01,2015,5771,METHADONE,1,FFSU,AR,false,13134.49,42339
34.8375,POINT (-106.2371 34.8375),,,,,-106.2371,1/1,2015-01-01T00:00:00.000,67877,2130.88,67877011601,0,106,01,2015,0116,METHADONE,1,MCOU,NM,false,2130.88,15999
43.3504,POINT (-84.5603 43.3504),,,,,-84.5603,7/1,2015-07-01T00:00:00.000,00054,,00054039168,,,68,2015,0391,METHADONE,3,MCOU,MI,true,,
,,,,,,,10/1,2015-10-01T00:00:00.000,66689,3120.78,66689071116,297.09,81,16,2015,0711,METHADONE,4,MCOU,XX,false,3417.87,44444.25
37.669,POINT (-84.6514 37.669),,,,,-84.6514,10/1,2015-10-01T00:00:00.000,00406,,00406575562,,,62,2015,5755,METHADONE,4,MCOU,KY,true,,
33.7712,POINT (-111.3877 33.7712),,,,,-111.3877,1/1,2015-01-01T00:00:00.000,00054,,00054355563,,,63,2015,3555,METHADONE,1,MCOU,AZ,true,,
