Utilization Type,State,Labeler Code,Product Code,Package Size,Year,Quarter,Product Name,Suppression Used,Units Reimbursed,Number of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non Medicaid Amount Reimbursed,Quarter Begin,Quarter Begin Date,Latitude,Longitude,Location,NDC
MCOU,HI,00054,4571,25,2012,4,METHADONE,false,139308,857,17224.4,17224.4,0,10/1,10/01/2012,21.1098,-157.5311,"(21.1098, -157.5311)",00054457125
FFSU,HI,00054,4571,25,2012,2,METHADONE,true,,,,,,4/1,04/01/2012,21.1098,-157.5311,"(21.1098, -157.5311)",00054457125
FFSU,XX,00406,5771,01,2012,2,METHADONE,false,3708917.101,24881,457668.36,444667.5,13000.86,4/1,04/01/2012,,,,00406577101
MCOU,HI,00406,5755,01,2012,3,METHADONE,false,1386,20,164.27,164.27,0,7/1,07/01/2012,21.1098,-157.5311,"(21.1098, -157.5311)",00406575501
MCOU,XX,00054,3555,63,2012,4,METHADONE,false,69319.69,402,4762.74,4668.93,93.81,10/1,10/01/2012,,,,00054355563
MCOU,HI,00406,5755,01,2012,2,METHADONE,true,,,,,,4/1,04/01/2012,21.1098,-157.5311,"(21.1098, -157.5311)",00406575501
FFSU,XX,00406,5771,01,2012,3,METHADONE,false,3769535,25594,475120.85,459650,15470.85,7/1,07/01/2012,,,,00406577101
MCOU,CA,00054,4571,25,2012,4,METHADONE,false,908640,5145,107627.35,107444.7,182.65,10/1,10/01/2012,36.17,-119.7462,"(36.17, -119.7462)",00054457125
FFSU,HI,00054,4571,25,2012,1,METHADONE,true,,,,,,1/1,01/01/2012,21.1098,-157.5311,"(21.1098, -157.5311)",00054457125
FFSU,CO,00406,5771,01,2012,4,METHADONE,false,118130,714,18035.38,17910.34,125.04,10/1,10/01/2012,39.0646,-105.3272,"(39.0646, -105.3272)",00406577101
MCOU,HI,00054,3556,63,2012,3,METHADONE,true,,,,,,7/1,07/01/2012,21.1098,-157.5311,"(21.1098, -157.5311)",00054355663
FFSU,XX,00406,5771,01,2012,1,METHADONE,false,4792520.5,32742,617632.12,603309.57,14322.55,1/1,01/01/2012,,,,00406577101
MCOU,XX,00054,4571,25,2012,3,METHADONE,false,6082408.001,39832,665865.97,653330.09,12535.88,7/1,07/01/2012,,,,00054457125
MCOU,XX,00406,5771,01,2012,1,METHADONE,false,3255606.801,21389,362267,360506.09,1760.91,1/1,01/01/2012,,,,00406577101
FFSU,XX,00054,4571,25,2012,4,METHADONE,false,4895905.151,32874,604569.07,584332.03,20237.04,10/1,10/01/2012,,,,00054457125
FFSU,CO,00054,4571,25,2012,4,METHADONE,false,105111,635,16328.1,16282.11,45.99,10/1,10/01/2012,39.0646,-105.3272,"(39.0646, -105.3272)",00054457125
FFSU,CO,00406,5771,01,2012,3,METHADONE,false,101196,599,15422.01,15297.02,124.99,7/1,07/01/2012,39.0646,-105.3272,"(39.0646, -105.3272)",00406577101
MCOU,HI,00406,5771,01,2012,3,METHADONE,false,58544,370,7295.05,7295.05,0,7/1,07/01/2012,21.1098,-157.5311,"(21.1098, -157.5311)",00406577101
MCOU,HI,00054,4570,25,2012,1,METHADONE,false,6303,51,57223.47,57223.47,0,1/1,01/01/2012,21.1098,-157.5311,"(21.1098, -157.5311)",00054457025
FFSU,XX,00054,4571,25,2012,1,METHADONE,false,6730278.501,46342,872969.34,854009.32,18960.02,1/1,01/01/2012,,,,00054457125
MCOU,XX,00406,5755,01,2012,4,METHADONE,false,278485.5,3498,21197.3,20585.02,612.28,10/1,10/01/2012,,,,00406575501
MCOU,XX,00054,4570,25,2012,2,METHADONE,false,331352.5,4052,44525.15,43492.81,1032.34,4/1,04/01/2012,,,,00054457025
FFSU,XX,00054,4571,25,2012,2,METHADONE,false,5637355,36817,704804.14,685270.8,19533.34,4/1,04/01/2012,,,,00054457125
MCOU,CA,00054,4570,25,2012,3,METHADONE,false,41564,467,3475.35,3475.35,0,7/1,07/01/2012,36.17,-119.7462,"(36.17, -119.7462)",00054457025
FFSU,CO,00054,4571,25,2012,2,METHADONE,false,132343,782,20055.79,19943.58,112.21,4/1,04/01/2012,39.0646,-105.3272,"(39.0646, -105.3272)",00054457125
MCOU,HI,00054,4571,25,2012,1,METHADONE,false,119145,697,19024.23,19024.23,0,1/1,01/01/2012,21.1098,-157.5311,"(21.1098, -157.5311)",00054457125
FFSU,XX,00406,5755,01,2012,4,METHADONE,false,339809.5,4593,39977.56,38196.32,1781.24,10/1,10/01/2012,,,,00406575501
MCOU,XX,67457,0217,20,2012,3,METHADONE,true,,,,,,7/1,07/01/2012,,,,67457021720
FFSU,XX,67457,0217,20,2012,2,METHADONE,false,1959.2,55,17432.66,16828.44,604.22,4/1,04/01/2012,,,,67457021720
FFSU,CA,67457,0217,20,2012,2,METHADONE,true,,,,,,4/1,04/01/2012,36.17,-119.7462,"(36.17, -119.7462)",67457021720
FFSU,NY,67457,0217,20,2012,2,METHADONE,false,440,23,6425.84,5826.62,599.22,4/1,04/01/2012,42.1497,-74.9384,"(42.1497, -74.9384)",67457021720
FFSU,XX,67457,0217,20,2012,4,METHADONE,false,1116.6,50,13566.21,13106.05,460.16,10/1,10/01/2012,,,,67457021720
MCOU,NY,67457,0217,20,2012,3,METHADONE,true,,,,,,7/1,07/01/2012,42.1497,-74.9384,"(42.1497, -74.9384)",67457021720
FFSU,NY,67457,0217,20,2012,4,METHADONE,true,,,,,,10/1,10/01/2012,42.1497,-74.9384,"(42.1497, -74.9384)",67457021720
MCOU,NY,67457,0217,20,2012,1,METHADONE,true,,,,,,1/1,01/01/2012,42.1497,-74.9384,"(42.1497, -74.9384)",67457021720
FFSU,PA,00406,5755,01,2012,4,METHADONE,false,9537,121,727.98,713.07,14.91,10/1,10/01/2012,40.5773,-77.264,"(40.5773, -77.264)",00406575501
FFSU,XX,67457,0217,20,2012,3,METHADONE,false,1021.6,66,8911.92,8672.46,239.46,7/1,07/01/2012,,,,67457021720
