period_covered,record_id,number_of_prescriptions,total_amount_reimbursed
2013,MCOU,53,1062.94
2013,MCOU,557,3712.56
2013,MCOU,560,3611.74
2013,MCOU,5793,81798.66
2013,MCOU,598,3423.65
2013,MCOU,603,4095.42
2013,MCOU,651,3761.27
2013,MCOU,67,1024.39
2013,MCOU,70,248.8
2013,MCOU,72,385.34
2013,MCOU,744,4448.95
2013,MCOU,751,14119.93
2013,MCOU,759,11174.35
2013,MCOU,79,1678.52
2013,MCOU,79,463.37
2013,MCOU,801,5009.36
2013,MCOU,817,16455.16
2013,MCOU,85,487.63
2013,MCOU,853,16682.19
2013,MCOU,874,14716.45
2013,MCOU,886,10458.39
2013,MCOU,89,1334.46
2013,MCOU,94,460.69
2013,MCOU,968,14100.17
2013,MCOU,973,16134.24
2013,MCOU,99,18637.42
2014,FFSU,1112,25846.93
2014,FFSU,118,3033.23
2014,FFSU,123,1083.16
2014,FFSU,124,2066.39
2014,FFSU,1268,40222.35
2014,FFSU,1345,22955.89
2014,FFSU,1426,24798.83
2014,FFSU,15,94.36
2014,FFSU,151,1230.27
2014,FFSU,155,6310.8
2014,FFSU,1555,522825.91
2014,FFSU,16,312.99
2014,FFSU,172,2235.67
2014,FFSU,17949,484266.87
2014,FFSU,1884,31022.15
2014,FFSU,1886,37462.39
2014,FFSU,19,7951.87
2014,FFSU,1906,61915.21
2014,FFSU,19084,355143.52
2014,FFSU,1983,40449.49
2014,FFSU,20,4697.51
2014,FFSU,20220,378680.17
2014,FFSU,20391,371315.44
2014,FFSU,204,2310.16
2014,FFSU,204,3065.42
2014,FFSU,212,2524.15
2014,FFSU,213,3660.63
2014,FFSU,213,3678.38
2014,FFSU,21807,410243.21
2014,FFSU,22563,420004.09
2014,FFSU,229,2844.66
2014,FFSU,23404,659061.27
2014,FFSU,2344,788133.57
2014,FFSU,24418,455415.64
2014,FFSU,249,3358.37
2014,FFSU,25,220.28
2014,FFSU,275,3877.25
2014,FFSU,2776,936867.38
2014,FFSU,28,15587.93
2014,FFSU,28,4230.33
2014,FFSU,2809,938133.93
2014,FFSU,283,70313.88
2014,FFSU,30,13.12
2014,FFSU,30,220.44
2014,FFSU,3013,1121990.08
2014,FFSU,31,378.22
2014,FFSU,3601,33383.6
2014,FFSU,373,6892.25
2014,FFSU,3860,35696.43
2014,FFSU,3873,35337.31
2014,FFSU,39,259.4
2014,FFSU,4042,83941.68
2014,FFSU,4088,37611.51
2014,FFSU,41,791.66
2014,FFSU,4121,48399.95
2014,FFSU,42,1219.86
2014,FFSU,4255,86839.88
2014,FFSU,4371,39333.31
2014,FFSU,465,6955.53
2014,FFSU,4689,90008.39
2014,FFSU,4962,200207.23
2014,FFSU,505,4555.38
2014,FFSU,51,776.62
2014,FFSU,52,408.69
2014,FFSU,5253,105626.61
2014,FFSU,535,205240.92
2014,FFSU,56,353.85
2014,FFSU,565,5011.13
2014,FFSU,57,1236.98
2014,FFSU,587,12932.41
2014,FFSU,604,9061.28
2014,FFSU,61,536.38
2014,FFSU,62,941.71
2014,FFSU,64,357.08
2014,FFSU,680,5849.04
2014,FFSU,725,15018.95
2014,FFSU,729,12481.68
2014,FFSU,745,24356.76
2014,FFSU,75,1562.12
2014,FFSU,764,15786.69
2014,FFSU,79,3821.19
2014,FFSU,799,18991.75
2014,FFSU,81,1454.5
2014,FFSU,81,34381.76
2014,FFSU,82,1292.02
2014,FFSU,927,35285.18
2014,FFSU,95,1561.94
2014,FFSU,95,2658.2
2014,FFSU,958,22120.74
2014,FFSU,97,34836.47
2014,MCOU,1007,16205.07
2014,MCOU,1021,10867.27
2014,MCOU,1031,14341.4
2014,MCOU,1048,13890.26
2014,MCOU,1084,18918.28
2014,MCOU,1128,11447.83
2014,MCOU,1147,17481.39
2014,MCOU,131,2031.51
2014,MCOU,1312,18882.3
2014,MCOU,134,296.48
2014,MCOU,1348,14476.79
2014,MCOU,136,1113.35
2014,MCOU,1382,27860.23
2014,MCOU,1526,14126.74
2014,MCOU,162,3063.76
2014,MCOU,1656,30737.62
2014,MCOU,167,3182.36
2014,MCOU,17,807.96
2014,MCOU,171,5051.15
2014,MCOU,176,3990.77
2014,MCOU,1827,18603.7
2014,MCOU,189,16582.35
2014,MCOU,19,2111.88
2014,MCOU,191,9068.65
2014,MCOU,1976,19392.9
2014,MCOU,202,12120.45
2014,MCOU,2093,22716.4
2014,MCOU,23,700.23
2014,MCOU,23626,367797.52
2014,MCOU,2431,988928.25
2014,MCOU,24609,376846.11
2014,MCOU,2531,1012306.31
2014,MCOU,25479,404379.99
2014,MCOU,2563,51023.24
